x,u(x)
1.0000e-02,0.0000e+00
2.0000e-02,1.7925e-01
3.0000e-02,2.4980e-01
4.0000e-02,3.1190e-01
5.0000e-02,3.6660e-01
6.0000e-02,4.1477e-01
7.0000e-02,4.5712e-01
8.0000e-02,4.9427e-01
9.0000e-02,5.2674e-01
1.0000e-01,5.5502e-01
1.1000e-01,5.7952e-01
1.2000e-01,6.0063e-01
1.3000e-01,6.1867e-01
1.4000e-01,6.3395e-01
1.5000e-01,6.4675e-01
1.6000e-01,6.5730e-01
1.7000e-01,6.6582e-01
1.8000e-01,6.7251e-01
1.9000e-01,6.7756e-01
2.0000e-01,6.8111e-01
2.1000e-01,6.8332e-01
2.2000e-01,6.8432e-01
2.3000e-01,6.8422e-01
2.4000e-01,6.8313e-01
2.5000e-01,6.8115e-01
2.6000e-01,6.7836e-01
2.7000e-01,6.7484e-01
2.8000e-01,6.7066e-01
2.9000e-01,6.6589e-01
3.0000e-01,6.6058e-01
3.1000e-01,6.5479e-01
3.2000e-01,6.4856e-01
3.3000e-01,6.4194e-01
3.4000e-01,6.3496e-01
3.5000e-01,6.2766e-01
3.6000e-01,6.2007e-01
3.7000e-01,6.1222e-01
3.8000e-01,6.0413e-01
3.9000e-01,5.9583e-01
4.0000e-01,5.8734e-01
4.1000e-01,5.7867e-01
4.2000e-01,5.6985e-01
4.3000e-01,5.6089e-01
4.4000e-01,5.5180e-01
4.5000e-01,5.4259e-01
4.6000e-01,5.3328e-01
4.7000e-01,5.2388e-01
4.8000e-01,5.1440e-01
4.9000e-01,5.0484e-01
5.0000e-01,4.9521e-01
5.1000e-01,4.8553e-01
5.2000e-01,4.7578e-01
5.3000e-01,4.6599e-01
5.4000e-01,4.5615e-01
5.5000e-01,4.4628e-01
5.6000e-01,4.3637e-01
5.7000e-01,4.2642e-01
5.8000e-01,4.1645e-01
5.9000e-01,4.0645e-01
6.0000e-01,3.9643e-01
6.1000e-01,3.8639e-01
6.2000e-01,3.7633e-01
6.3000e-01,3.6625e-01
6.4000e-01,3.5616e-01
6.5000e-01,3.4606e-01
6.6000e-01,3.3594e-01
6.7000e-01,3.2582e-01
6.8000e-01,3.1568e-01
6.9000e-01,3.0554e-01
7.0000e-01,2.9539e-01
7.1000e-01,2.8523e-01
7.2000e-01,2.7507e-01
7.3000e-01,2.6490e-01
7.4000e-01,2.5473e-01
7.5000e-01,2.4456e-01
7.6000e-01,2.3438e-01
7.7000e-01,2.2420e-01
7.8000e-01,2.1401e-01
7.9000e-01,2.0383e-01
8.0000e-01,1.9364e-01
8.1000e-01,1.8345e-01
8.2000e-01,1.7326e-01
8.3000e-01,1.6307e-01
8.4000e-01,1.5288e-01
8.5000e-01,1.4269e-01
8.6000e-01,1.3250e-01
8.7000e-01,1.2230e-01
8.8000e-01,1.1211e-01
8.9000e-01,1.0192e-01
9.0000e-01,9.1724e-02
9.1000e-01,8.1531e-02
9.2000e-01,7.1338e-02
9.3000e-01,6.1146e-02
9.4000e-01,5.0954e-02
9.5000e-01,4.0762e-02
9.6000e-01,3.0571e-02
9.7000e-01,2.0380e-02
9.8000e-01,1.0190e-02
9.9000e-01,2.5087e-07
